"region_name","tree_canopy_area","avg_population_density"
"Census Tract 27053000300","36.8","3172.1739"
"Census Tract 27053001100","37.9","3124.1361"
"Census Tract 27053001700","28.2","2958.4101"
"Census Tract 27053002200","35.7","3267.5003"
"Census Tract 27053002400","30.7","2949.5723"
"Census Tract 27053002700","26.1","3930.3263"
"Census Tract 27053003200","34.1","2936.5809"
"Census Tract 27053003300","30.3","3733.4297"
"Census Tract 27053006800","28.4","8068.4428"
"Census Tract 27053020400","33.2","65.6988"
"Census Tract 27053000101","27.7","1589.2356"
"Census Tract 27053000102","31.5","1985.2791"
"Census Tract 27053100200","34","2392.4854"
"Census Tract 27053100400","24.3","1639.8635"
"Census Tract 27053100500","15.8","636.8036"
"Census Tract 27053100700","38.4","3090.2054"
"Census Tract 27053100800","35.9","3755.3148"
"Census Tract 27053100900","27.5","2585.2243"
"Census Tract 27053101200","34","3019.1927"
"Census Tract 27053101300","31.1","3544.6451"
"Census Tract 27053101600","25","2151.0132"
"Census Tract 27053101800","26.3","3149.8422"
"Census Tract 27053101900","31.4","4853.4391"
"Census Tract 27053102000","36.2","2657.6057"
"Census Tract 27053102100","32.6","3039.7661"
"Census Tract 27053102500","23.7","3036.7323"
"Census Tract 27053102600","20","769.3324"
"Census Tract 27053102800","33.4","3390.3876"
"Census Tract 27053103000","24.7","1782.5894"
"Census Tract 27053103100","25.7","3911.402"
"Census Tract 27053103400","10.5","2966.7269"
"Census Tract 27053103600","28.5","2550.9051"
"Census Tract 27053103700","24.3","3605.7106"
"Census Tract 27053103900","16.4","8351.2172"
"Census Tract 27053104100","27.2","2192.8988"
"Census Tract 27053104400","3.1","2873.0314"
"Census Tract 27053105100","47.4","882.7993"
"Census Tract 27053105400","8.5","6252.2701"
"Census Tract 27053105500","33.3","2577.9042"
"Census Tract 27053105600","21.6","8240.0347"
"Census Tract 27053105700","15.4","10469.0144"
"Census Tract 27053106000","18.9","4812.6029"
"Census Tract 27053106200","24.8","5303.2517"
"Census Tract 27053106400","43.2","3679.0785"
"Census Tract 27053106500","48.3","1566.0209"
"Census Tract 27053106600","36.2","3866.5121"
"Census Tract 27053106700","26","6782.8341"
"Census Tract 27053106900","24.5","5216.2074"
"Census Tract 27053107000","23.7","9210.089"
